Method,Embedding_Size,Score_Type,Score
DeepWalk,2,r2,0.6435136063177408
DeepWalk,5,r2,0.6441818994525618
"Node2Vec (p=2, q=1)",2,r2,0.6428765094828878
"Node2Vec (p=2, q=1)",5,r2,0.6442668741063182
DeepWalk,2,r2,0.6429571968186808
DeepWalk,5,r2,0.645432067582588
"Node2Vec (p=2, q=1)",2,r2,0.642811278707353
"Node2Vec (p=2, q=1)",5,r2,0.6444907220340447
"Node2Vec (p=0.5, q=2.0)",2,r2,0.6443005736177365
"Node2Vec (p=0.5, q=2.0)",4,r2,0.6474377252117488
"Node2Vec (p=0.5, q=2.0)",16,r2,0.6604468786953401
"Node2Vec (p=0.5, q=1.0)",2,r2,0.6515316620264382
"Node2Vec (p=0.5, q=1.0)",4,r2,0.6547098128267121
"Node2Vec (p=0.5, q=1.0)",16,r2,0.6726682389486666
"Node2Vec (p=0.5, q=2.0)",2,r2,0.6447558863061539
"Node2Vec (p=0.5, q=2.0)",4,r2,0.6448132283889019
"Node2Vec (p=0.5, q=2.0)",8,r2,0.6525378909479362
"Node2Vec (p=0.5, q=1.0)",2,r2,0.644440240491291
"Node2Vec (p=0.5, q=1.0)",4,r2,0.6494441223712981
"Node2Vec (p=0.5, q=1.0)",8,r2,0.650444022542788
"Node2Vec (p=1.0, q=2.0)",2,r2,0.6461020449758059
"Node2Vec (p=1.0, q=2.0)",4,r2,0.6470254011296402
"Node2Vec (p=1.0, q=2.0)",8,r2,0.6500801219077917
DeepWalk,2,r2,0.6445409132462518
DeepWalk,4,r2,0.6459937038358723
DeepWalk,8,r2,0.652721763402109
