BaseModel,Method,EmbeddingDim,NumWalks,WalkLength,p,q,R2,MAPE,ACC,RMSE,MSE_log,Embedding_Time,Regression_Time,Total_Time,Graph_Type
GradientBoosting,Raw,,,,,,0.7894,0.206,0.6189,53889.3508,0.0126,0.0,6.3983,6.3983,KNN with Threshold
RandomForest,Raw,,,,,,0.8392,0.1658,0.7348,47090.1269,0.0095,0.0,24.7536,24.7536,KNN with Threshold
GradientBoosting,"Node2Vec (p=0.5, q=2.0)",8.0,50.0,10.0,0.5,2.0,0.7918,0.2049,0.6282,53577.108,0.0125,64.5691,13.6435,64.5787,KNN with Threshold
RandomForest,"Node2Vec (p=0.5, q=2.0)",8.0,50.0,10.0,0.5,2.0,0.8367,0.1674,0.7295,47445.7524,0.0096,64.5691,47.1802,64.5787,KNN with Threshold
GradientBoosting,"Node2Vec (p=0.5, q=1.0)",8.0,50.0,10.0,0.5,1.0,0.7917,0.2051,0.6179,53594.3247,0.0126,61.5766,13.8534,61.5831,KNN with Threshold
RandomForest,"Node2Vec (p=0.5, q=1.0)",8.0,50.0,10.0,0.5,1.0,0.8382,0.1655,0.7373,47234.297,0.0094,61.5766,47.523,61.5831,KNN with Threshold
GradientBoosting,"Node2Vec (p=1.0, q=2.0)",8.0,50.0,10.0,1.0,2.0,0.7961,0.202,0.6267,53018.7171,0.0124,58.7653,13.5986,58.7722,KNN with Threshold
RandomForest,"Node2Vec (p=1.0, q=2.0)",8.0,50.0,10.0,1.0,2.0,0.8435,0.164,0.7339,46454.734,0.0093,58.7653,45.6107,58.7722,KNN with Threshold
GradientBoosting,DeepWalk,8.0,50.0,10.0,1.0,1.0,0.793,0.2046,0.6267,53416.9329,0.0125,50.7287,13.0596,50.7357,KNN with Threshold
RandomForest,DeepWalk,8.0,50.0,10.0,1.0,1.0,0.8404,0.164,0.7324,46911.666,0.0093,50.7287,45.5201,50.7357,KNN with Threshold
