Method,Embedding_Size,Embedding_Time,Total_Pipeline_Time,Regression_Time
"Node2Vec (p=0.5, q=0.5)",2,69.61815619468689,69.62805509567261,6.305268383026123
"Node2Vec (p=0.5, q=0.5)",4,70.42204475402832,70.4290030002594,7.752354335784912
"Node2Vec (p=0.5, q=0.5)",8,70.23345589637756,70.25901913642883,10.36393518447876
"Node2Vec (p=0.5, q=1.0)",2,82.28586840629578,82.29581451416016,6.359464645385742
"Node2Vec (p=0.5, q=1.0)",4,82.92525839805603,82.94031953811646,7.657764005661011
"Node2Vec (p=0.5, q=1.0)",8,83.44723153114319,83.4539303779602,10.346056270599366
DeepWalk,2,65.56423258781433,65.57264995574951,6.396369361877442
DeepWalk,4,65.57967805862427,65.58891367912292,7.678890180587769
DeepWalk,8,62.97738528251648,62.98549628257752,10.35697693824768
"Node2Vec (p=1.0, q=0.5)",2,70.77505731582642,70.78269720077515,6.356133508682251
"Node2Vec (p=1.0, q=0.5)",4,70.3093466758728,70.31630277633667,7.67332353591919
"Node2Vec (p=1.0, q=0.5)",8,69.26943755149841,69.2783420085907,10.360814619064332
"Node2Vec (p=0.5, q=0.5)",2,68.1187527179718,68.12504720687866,6.343071031570434
"Node2Vec (p=0.5, q=0.5)",4,69.31583547592163,69.32084536552429,7.66489872932434
"Node2Vec (p=0.5, q=0.5)",8,71.10969519615173,71.11841797828674,10.323557329177856
"Node2Vec (p=0.5, q=1.0)",2,78.23269200325012,78.24169111251831,6.323832654953003
"Node2Vec (p=0.5, q=1.0)",4,78.45686626434326,78.46598529815674,7.668205499649048
"Node2Vec (p=0.5, q=1.0)",8,80.6113510131836,80.61510491371155,10.344517755508424
DeepWalk,2,64.65032124519348,64.65909361839294,6.318695545196533
DeepWalk,4,65.61069989204407,65.61843729019165,7.630850076675415
DeepWalk,8,67.65473699569702,67.6623592376709,10.32001223564148
"Node2Vec (p=1.0, q=0.5)",2,68.96769785881042,68.97397446632385,6.294290161132812
"Node2Vec (p=1.0, q=0.5)",4,69.89001131057739,69.89552187919617,7.644956159591675
"Node2Vec (p=1.0, q=0.5)",8,71.73050737380981,71.73704695701599,10.395534658432007
"Node2Vec (p=0.5, q=0.5)",2,68.30594801902771,68.31812477111816,6.26906304359436
"Node2Vec (p=0.5, q=0.5)",4,68.83843493461609,68.84365630149841,7.669502782821655
"Node2Vec (p=0.5, q=0.5)",8,72.37771415710449,72.39021897315979,10.323913288116454
"Node2Vec (p=0.5, q=1.0)",2,77.551278591156,77.5593900680542,6.2943164825439455
"Node2Vec (p=0.5, q=1.0)",4,78.27077007293701,78.28013610839844,7.653242349624634
"Node2Vec (p=0.5, q=1.0)",8,79.29162669181824,79.29713201522827,10.377750682830811
DeepWalk,2,64.74796295166016,64.75588083267212,6.338320112228393
DeepWalk,4,66.51560497283936,66.52263140678406,7.669928359985351
DeepWalk,8,67.95000720024109,67.95522809028625,10.348877763748169
"Node2Vec (p=1.0, q=0.5)",2,69.29521751403809,69.30217814445496,6.292891120910644
"Node2Vec (p=1.0, q=0.5)",4,70.1589584350586,70.16501116752625,7.628315496444702
"Node2Vec (p=1.0, q=0.5)",8,71.92008233070374,71.92704486846924,10.325514554977415
"Node2Vec (p=0.5, q=0.5)",2,18.72431898117065,18.73105096817017,6.501277685165405
"Node2Vec (p=0.5, q=0.5)",4,18.738849401474,18.74850821495056,7.934485960006714
"Node2Vec (p=0.5, q=0.5)",8,18.883447885513306,18.891849279403687,10.631474447250366
"Node2Vec (p=0.5, q=1.0)",2,20.861440896987915,20.87085747718811,6.537647914886475
"Node2Vec (p=0.5, q=1.0)",4,21.29328727722168,21.3013129234314,7.9145119190216064
"Node2Vec (p=0.5, q=1.0)",8,21.10958743095398,21.11744856834412,10.813245677947998
DeepWalk,2,17.418031454086304,17.426737308502197,6.617003059387207
DeepWalk,4,17.519567012786865,17.52652859687805,8.041413831710816
DeepWalk,8,18.32158136367798,18.32861018180847,10.364882373809817
"Node2Vec (p=1.0, q=0.5)",2,17.377307653427124,17.38567066192627,6.391265201568603
"Node2Vec (p=1.0, q=0.5)",4,18.276836156845093,18.286537647247314,8.057067155838013
"Node2Vec (p=1.0, q=0.5)",8,18.89403748512268,18.90143609046936,10.675714015960692
"Node2Vec (p=0.5, q=0.5)",2,135.8592677116394,135.86726331710815,6.306609725952148
"Node2Vec (p=0.5, q=0.5)",4,140.32300233840942,140.33260536193848,7.721520042419433
"Node2Vec (p=0.5, q=0.5)",8,144.34151482582092,144.34907841682434,10.348721837997436
"Node2Vec (p=0.5, q=1.0)",2,157.34689569473267,157.35529255867004,6.340656661987305
"Node2Vec (p=0.5, q=1.0)",4,159.3927652835846,159.40085172653198,7.673377466201782
"Node2Vec (p=0.5, q=1.0)",8,166.63559699058533,166.6433584690094,10.33948311805725
DeepWalk,2,129.37005233764648,129.37648725509644,6.34438009262085
DeepWalk,4,132.15836262702942,132.16567468643188,7.645303726196289
DeepWalk,8,134.95364713668823,134.9621307849884,10.410612535476684
"Node2Vec (p=1.0, q=0.5)",2,139.23557233810425,139.24535155296326,6.362507009506226
"Node2Vec (p=1.0, q=0.5)",4,141.06573009490967,141.07197904586792,7.775412368774414
"Node2Vec (p=1.0, q=0.5)",8,145.05168557167053,145.05856919288635,10.41451940536499
