Method,Embedding_Size,Score_Type,Score
"Node2Vec (p=0.5, q=0.5)",2,r2,0.9918782344675008
"Node2Vec (p=0.5, q=0.5)",4,r2,0.991777213457721
"Node2Vec (p=0.5, q=0.5)",8,r2,0.991877629142446
"Node2Vec (p=0.5, q=1.0)",2,r2,0.9918667434798
"Node2Vec (p=0.5, q=1.0)",4,r2,0.9917388663721676
"Node2Vec (p=0.5, q=1.0)",8,r2,0.9914621976482924
DeepWalk,2,r2,0.9917380325863998
DeepWalk,4,r2,0.991636905799355
DeepWalk,8,r2,0.991508107711779
"Node2Vec (p=1.0, q=0.5)",2,r2,0.9917313799722468
"Node2Vec (p=1.0, q=0.5)",4,r2,0.9916556274940221
"Node2Vec (p=1.0, q=0.5)",8,r2,0.9915744677849576
