BaseModel,Method,EmbeddingDim,NumWalks,WalkLength,p,q,R2,MAPE,ACC,RMSE,MSE_log,Embedding_Time,Regression_Time,Total_Time,Graph_Type
GradientBoosting,Raw,,,,,,0.9943,0.0709,0.9755,411.0207,0.1626,0.0,3.2325,3.2325,KNN with Threshold
RandomForest,Raw,,,,,,0.9958,0.0091,0.994,351.5528,0.0004,0.0,12.3646,12.3646,KNN with Threshold
GradientBoosting,"Node2Vec (p=0.5, q=2.0)",4.0,50.0,10.0,0.5,2.0,0.9942,0.0681,0.9745,413.7355,0.1624,63.4122,6.7712,63.4255,KNN with Threshold
RandomForest,"Node2Vec (p=0.5, q=2.0)",4.0,50.0,10.0,0.5,2.0,0.9957,0.0111,0.9935,355.9609,0.0006,63.4122,21.0303,63.4255,KNN with Threshold
GradientBoosting,"Node2Vec (p=0.5, q=1.0)",4.0,50.0,10.0,0.5,1.0,0.9941,0.0713,0.9755,419.4205,0.1627,62.9309,6.7505,62.9444,KNN with Threshold
RandomForest,"Node2Vec (p=0.5, q=1.0)",4.0,50.0,10.0,0.5,1.0,0.9952,0.0107,0.9935,374.8566,0.0006,62.9309,21.1796,62.9444,KNN with Threshold
GradientBoosting,"Node2Vec (p=1.0, q=2.0)",4.0,50.0,10.0,1.0,2.0,0.9939,0.0714,0.975,425.2177,0.1627,57.7736,7.0086,57.7862,KNN with Threshold
RandomForest,"Node2Vec (p=1.0, q=2.0)",4.0,50.0,10.0,1.0,2.0,0.9957,0.0115,0.993,356.1453,0.0006,57.7736,21.0666,57.7862,KNN with Threshold
GradientBoosting,DeepWalk,4.0,50.0,10.0,1.0,1.0,0.9943,0.0709,0.9755,411.7491,0.1626,52.1988,6.6278,52.2119,KNN with Threshold
RandomForest,DeepWalk,4.0,50.0,10.0,1.0,1.0,0.9954,0.0113,0.994,370.2223,0.0006,52.1988,20.9323,52.2119,KNN with Threshold
