Method,Embedding_Size,Embedding_Time,Total_Pipeline_Time,Regression_Time
DeepWalk,2,17.90103268623352,17.904518365859985,0.0121068000793457
DeepWalk,5,16.35930061340332,16.35930061340332,0.0140736579895019
"Node2Vec (p=2, q=1)",2,18.7337486743927,18.73679280281067,0.03123459815979
"Node2Vec (p=2, q=1)",5,17.383143424987793,17.383143424987793,0.0259663581848144
"Node2Vec (p=0.5, q=2.0)",2,47.80986380577088,47.818650007247925,0.0286090373992919
"Node2Vec (p=0.5, q=2.0)",4,46.61349534988403,46.62147355079651,0.0167658805847167
"Node2Vec (p=0.5, q=2.0)",8,42.45456600189209,42.46321225166321,0.0356028079986572
"Node2Vec (p=0.5, q=1.0)",2,47.06650733947754,47.07635951042175,0.0584399700164794
"Node2Vec (p=0.5, q=1.0)",4,45.44243597984314,45.453519105911255,0.0400772094726562
"Node2Vec (p=0.5, q=1.0)",8,42.76336669921875,42.77097010612488,0.016959810256958
"Node2Vec (p=1.0, q=2.0)",2,44.41231799125672,44.42254447937012,0.013951826095581
"Node2Vec (p=1.0, q=2.0)",4,41.93428707122803,41.94295573234558,0.0292362689971923
"Node2Vec (p=1.0, q=2.0)",8,38.59164309501648,38.59986448287964,0.014943504333496
DeepWalk,2,38.88555288314819,38.89591670036316,0.0159528255462646
DeepWalk,4,38.221343755722046,38.23046636581421,0.0144529342651367
DeepWalk,8,35.644925355911255,35.65014624595642,0.0159437656402587
"Node2Vec (p=0.5, q=2.0)",2,48.182037353515625,48.19488048553467,1.994348955154419
"Node2Vec (p=0.5, q=2.0)",4,45.65601348876953,45.66392970085144,2.693104076385498
"Node2Vec (p=0.5, q=2.0)",8,42.27041959762573,42.27845239639282,3.963803243637085
"Node2Vec (p=0.5, q=1.0)",2,48.40989828109741,48.42032551765442,1.9997679710388183
"Node2Vec (p=0.5, q=1.0)",4,44.851184129714966,44.85966777801514,2.644689846038818
"Node2Vec (p=0.5, q=1.0)",8,41.64419507980347,41.65535044670105,3.93110933303833
"Node2Vec (p=1.0, q=2.0)",2,43.50105857849121,43.50858902931213,1.9982234001159669
"Node2Vec (p=1.0, q=2.0)",4,41.028724193573,41.0379478931427,2.6317742824554444
"Node2Vec (p=1.0, q=2.0)",8,37.79274129867554,37.80139017105103,3.913266134262085
DeepWalk,2,39.167367696762085,39.17535662651062,1.997352933883667
DeepWalk,4,38.46672701835632,38.47556757926941,2.631766748428345
DeepWalk,8,35.60867428779602,35.620842695236206,3.932802438735962
