BaseModel,Method,EmbeddingDim,NumWalks,WalkLength,p,q,R2,MAPE,ACC,RMSE,MSE_log
GradientBoosting,Raw,,,,,,0.7867993259399797,0.21075316357051863,0.6066536203522505,54214.652720339254,0.013022042896059958
RandomForest,Raw,,,,,,0.8384390474927657,0.16590272194865144,0.7274951076320939,47194.413782685435,0.009367250413837232
GradientBoosting,DeepWalk,10.0,20.0,10.0,,,0.7901801485046437,0.20832374013756602,0.6076320939334638,53783.08145468281,0.01270603778413539
RandomForest,DeepWalk,10.0,20.0,10.0,,,0.8487554416703809,0.1601905118675204,0.7465753424657534,45662.77202878515,0.00874679008148157
GradientBoosting,Node2Vec,10.0,20.0,10.0,1.0,1.0,0.7816604113795194,0.21441623385220057,0.6022504892367906,54864.14774817883,0.013324937021117242
RandomForest,Node2Vec,10.0,20.0,10.0,1.0,1.0,0.8461058177690657,0.16060595233900987,0.7436399217221135,46061.01401660835,0.008783924201643199
GradientBoosting,Node2Vec,5.0,20.0,10.0,1.0,2.0,0.7862977680365908,0.20881987519645076,0.6135029354207436,54278.38566625694,0.012852368608378531
RandomForest,Node2Vec,5.0,20.0,10.0,1.0,2.0,0.8401076560045888,0.16453264310814392,0.7333659491193738,46950.068268108895,0.00933650579196643
GradientBoosting,Node2Vec,10.0,20.0,10.0,2.0,1.0,0.787034242122883,0.2124555271602686,0.6007827788649707,54184.776150899015,0.01314037398536476
RandomForest,Node2Vec,10.0,20.0,10.0,2.0,1.0,0.8404817967463702,0.1645404262834503,0.737279843444227,46895.10559497895,0.009082097100471271
GradientBoosting,Node2Vec,10.0,20.0,10.0,2.0,2.0,0.7868241623350359,0.20935555947020462,0.6086105675146771,54211.49481346258,0.012772961355292406
RandomForest,Node2Vec,10.0,20.0,10.0,2.0,2.0,0.8470111903561461,0.16130559990386026,0.7411937377690803,45925.32371770987,0.008812445903385249
