BaseModel,Method,EmbeddingDim,NumWalks,WalkLength,p,q,R2,MAPE,ACC,RMSE,MSE_log
GradientBoosting,Raw,,,,,,0.7868,0.2108,0.6067,54214.6527,0.013
RandomForest,Raw,,,,,,0.8384,0.1659,0.7275,47194.4138,0.0094
GradientBoosting,DeepWalk,5.0,20.0,15.0,,,0.7827,0.2111,0.6106,54727.4937,0.0131
RandomForest,DeepWalk,5.0,20.0,15.0,,,0.8424,0.1643,0.7343,46609.0385,0.009
GradientBoosting,Node2Vec,2.0,20.0,15.0,1.0,1.0,0.7836,0.2109,0.6155,54618.0689,0.0131
RandomForest,Node2Vec,2.0,20.0,15.0,1.0,1.0,0.8371,0.1661,0.729,47395.2544,0.0094
GradientBoosting,Node2Vec,5.0,20.0,15.0,1.0,2.0,0.7844,0.2107,0.6145,54522.6383,0.013
RandomForest,Node2Vec,5.0,20.0,15.0,1.0,2.0,0.8392,0.1668,0.7343,47087.0446,0.0094
GradientBoosting,Node2Vec,5.0,20.0,15.0,2.0,1.0,0.7829,0.2119,0.6091,54710.516,0.0131
RandomForest,Node2Vec,5.0,20.0,15.0,2.0,1.0,0.836,0.1696,0.7241,47555.1422,0.0095
GradientBoosting,Node2Vec,5.0,20.0,15.0,2.0,2.0,0.7839,0.2095,0.612,54588.05,0.013
RandomForest,Node2Vec,5.0,20.0,15.0,2.0,2.0,0.8409,0.1652,0.7387,46830.3052,0.0092
