BaseModel,Method,EmbeddingDim,NumWalks,WalkLength,p,q,R2,MAPE,ACC,RMSE,MSE_log
GradientBoosting,Raw,,,,,,0.8535336465409328,0.4063318838276764,0.6975,1857832456.2891853,0.01903136255925746
RandomForest,Raw,,,,,,0.8528839101308932,0.3380965240042408,0.755,1861948642.7843466,0.017457966887501196
GradientBoosting,DeepWalk,10.0,20.0,10.0,,,0.8539899066399592,0.40204052373516036,0.693,1854936514.7741802,0.01935953657233482
RandomForest,DeepWalk,10.0,20.0,10.0,,,0.868673661799524,0.34714713836754013,0.7445,1759193163.4141538,0.016858940804761482
GradientBoosting,Node2Vec,2.0,20.0,10.0,1.0,1.0,0.8498221655610492,0.40583551429821807,0.7,1881224083.2419329,0.019356405110829606
RandomForest,Node2Vec,2.0,20.0,10.0,1.0,1.0,0.8528968353428922,0.33997070470468643,0.7515,1861866848.1635854,0.017161597561608385
GradientBoosting,Node2Vec,5.0,20.0,10.0,1.0,2.0,0.8515175527714521,0.40094757816708376,0.694,1870575188.6024768,0.01941071978845981
RandomForest,Node2Vec,5.0,20.0,10.0,1.0,2.0,0.8626544228611401,0.3533942970688416,0.751,1799057111.9940438,0.017101478268986572
GradientBoosting,Node2Vec,5.0,20.0,10.0,2.0,1.0,0.8576466671909048,0.386954040560167,0.694,1831561183.2852912,0.019131392288548085
RandomForest,Node2Vec,5.0,20.0,10.0,2.0,1.0,0.8607834715259758,0.32085590490734844,0.752,1811269237.321651,0.017161617854385417
GradientBoosting,Node2Vec,2.0,20.0,10.0,2.0,2.0,0.8570313910392897,0.3984178263666395,0.6985,1835515080.3816872,0.018781963409479546
RandomForest,Node2Vec,2.0,20.0,10.0,2.0,2.0,0.8610323957359309,0.3462580798576607,0.752,1809649205.233232,0.01736369221987183
